bukken,ttl,epoc,rowdata,datetime
tama_b,1762736419,1752109219088,"{""gwid"":""g18"",""ch"":30,""sf"":11,""panid"":20101,""node"":{""id"":726,""rssi"":-47,""interval"":80,""seq"":79,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.6,""humidity"":61,""pressure"":1012,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986075d"",""rssi"":-89,""volt"":2.96},{""id"":""0081f9860662"",""rssi"":-75,""volt"":3.06},{""id"":""0081f98602f6"",""rssi"":-70,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-68,""volt"":2.92},{""id"":""0081f9860866"",""rssi"":-67,""volt"":3.01},{""id"":""0081f9860356"",""rssi"":-64,""volt"":3.05},{""id"":""0081f986057c"",""rssi"":-64,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-60,""volt"":2.9699999999999998},{""id"":""0081f986053f"",""rssi"":-52,""volt"":3}]}",2025/07/10 10:00:19.088
tama_b,1762736422,1752109221995,"{""gwid"":""g18"",""ch"":28,""sf"":11,""panid"":20101,""node"":{""id"":730,""rssi"":-77,""interval"":80,""seq"":49,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.9,""humidity"":61,""pressure"":1011.6,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-71,""volt"":3.06},{""id"":""0081f986057c"",""rssi"":-66,""volt"":3.14},{""id"":""0081f9860866"",""rssi"":-65,""volt"":2.9699999999999998},{""id"":""0081f98608fc"",""rssi"":-62,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-62,""volt"":3.05},{""id"":""0081f986083d"",""rssi"":-57,""volt"":2.9699999999999998},{""id"":""0081f98602f6"",""rssi"":-55,""volt"":3.01},{""id"":""0081f986053f"",""rssi"":-49,""volt"":3}]}",2025/07/10 10:00:21.995
tama_b,1762736436,1752109236380,"{""gwid"":""g18"",""ch"":25,""sf"":11,""panid"":20101,""node"":{""id"":727,""rssi"":-59,""interval"":79,""seq"":97,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.3,""humidity"":60,""pressure"":1011.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860866"",""rssi"":-75,""volt"":3.01},{""id"":""0081f986057c"",""rssi"":-63,""volt"":3.14},{""id"":""0081f9860662"",""rssi"":-63,""volt"":3.06},{""id"":""0081f986053f"",""rssi"":-62,""volt"":2.96},{""id"":""0081f98602f6"",""rssi"":-62,""volt"":3.01},{""id"":""0081f9860356"",""rssi"":-58,""volt"":3.05},{""id"":""0081f98608fc"",""rssi"":-56,""volt"":2.92},{""id"":""0081f986083d"",""rssi"":-49,""volt"":2.92}]}",2025/07/10 10:00:36.380
tama_b,1762736444,1752109244150,"{""gwid"":""g18"",""ch"":26,""sf"":11,""panid"":20101,""node"":{""id"":728,""rssi"":-59,""interval"":81,""seq"":57,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.3,""humidity"":61,""pressure"":1012,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-71,""volt"":3.06},{""id"":""0081f986053f"",""rssi"":-66,""volt"":3},{""id"":""0081f98602f6"",""rssi"":-66,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-61,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-54,""volt"":3.05},{""id"":""0081f986057c"",""rssi"":-51,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-51,""volt"":2.9699999999999998},{""id"":""0081f9860866"",""rssi"":-50,""volt"":3.01}]}",2025/07/10 10:00:44.150
tama_b,1762736471,1752109271136,"{""gwid"":""g18"",""ch"":27,""sf"":11,""panid"":20101,""node"":{""id"":729,""rssi"":-59,""interval"":80,""seq"":43,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":26.2,""humidity"":60,""pressure"":1012.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-75,""volt"":3.06},{""id"":""0081f986053f"",""rssi"":-65,""volt"":3},{""id"":""0081f98608fc"",""rssi"":-65,""volt"":2.92},{""id"":""0081f9860866"",""rssi"":-64,""volt"":3.01},{""id"":""0081f986057c"",""rssi"":-63,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-56,""volt"":2.92},{""id"":""0081f98602f6"",""rssi"":-54,""volt"":3.01},{""id"":""0081f9860356"",""rssi"":-44,""volt"":3.05}]}",2025/07/10 10:01:11.136
tama_b,1762736499,1752109299065,"{""gwid"":""g18"",""ch"":30,""sf"":11,""panid"":20101,""node"":{""id"":726,""rssi"":-71,""interval"":80,""seq"":81,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.6,""humidity"":61,""pressure"":1012,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986075d"",""rssi"":-88,""volt"":2.96},{""id"":""0081f9860662"",""rssi"":-75,""volt"":3.06},{""id"":""0081f9860866"",""rssi"":-73,""volt"":2.9699999999999998},{""id"":""0081f98602f6"",""rssi"":-70,""volt"":3.01},{""id"":""0081f98608fc"",""rssi"":-68,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-66,""volt"":3.05},{""id"":""0081f986057c"",""rssi"":-64,""volt"":3.14},{""id"":""0081f986083d"",""rssi"":-59,""volt"":2.9699999999999998},{""id"":""0081f986053f"",""rssi"":-59,""volt"":3}]}",2025/07/10 10:01:39.065
tama_b,1762736502,1752109302497,"{""gwid"":""g18"",""ch"":28,""sf"":11,""panid"":20101,""node"":{""id"":730,""rssi"":-61,""interval"":81,""seq"":51,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":24.9,""humidity"":61,""pressure"":1011.6,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f98602f6"",""rssi"":-75,""volt"":3.01},{""id"":""0081f9860662"",""rssi"":-72,""volt"":3.06},{""id"":""0081f986057c"",""rssi"":-67,""volt"":3.14},{""id"":""0081f98608fc"",""rssi"":-64,""volt"":2.92},{""id"":""0081f9860866"",""rssi"":-64,""volt"":3.01},{""id"":""0081f986083d"",""rssi"":-57,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-56,""volt"":3.05},{""id"":""0081f986053f"",""rssi"":-49,""volt"":3}]}",2025/07/10 10:01:42.497
tama_b,1762736515,1752109315442,"{""gwid"":""g18"",""ch"":25,""sf"":11,""panid"":20101,""node"":{""id"":727,""rssi"":-59,""interval"":80,""seq"":99,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.3,""humidity"":60,""pressure"":1011.6,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f98602f6"",""rssi"":-74,""volt"":3.01},{""id"":""0081f9860866"",""rssi"":-72,""volt"":2.9699999999999998},{""id"":""0081f986053f"",""rssi"":-68,""volt"":2.96},{""id"":""0081f9860662"",""rssi"":-67,""volt"":3.06},{""id"":""0081f986057c"",""rssi"":-62,""volt"":3.14},{""id"":""0081f9860356"",""rssi"":-62,""volt"":3.05},{""id"":""0081f986083d"",""rssi"":-56,""volt"":2.9699999999999998},{""id"":""0081f98608fc"",""rssi"":-55,""volt"":2.92}]}",2025/07/10 10:01:55.442
tama_b,1762736524,1752109324021,"{""gwid"":""g18"",""ch"":26,""sf"":11,""panid"":20101,""node"":{""id"":728,""rssi"":-71,""interval"":80,""seq"":59,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":25.3,""humidity"":61,""pressure"":1012.1,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f986057c"",""rssi"":-69,""volt"":3.14},{""id"":""0081f9860662"",""rssi"":-69,""volt"":3.06},{""id"":""0081f9860356"",""rssi"":-69,""volt"":3.05},{""id"":""0081f986053f"",""rssi"":-67,""volt"":2.96},{""id"":""0081f98602f6"",""rssi"":-62,""volt"":3.01},{""id"":""0081f986083d"",""rssi"":-60,""volt"":2.9699999999999998},{""id"":""0081f98608fc"",""rssi"":-60,""volt"":2.9699999999999998},{""id"":""0081f9860866"",""rssi"":-48,""volt"":2.9699999999999998}]}",2025/07/10 10:02:04.021
tama_b,1762736551,1752109351426,"{""gwid"":""g18"",""ch"":27,""sf"":11,""panid"":20101,""node"":{""id"":729,""rssi"":-51,""interval"":80,""seq"":45,""voltage"":1,""ext_volt"":-1,""ext_rssi"":0,""ext_vbat"":0,""temperature"":26.2,""humidity"":60,""pressure"":1012.7,""acceleration"":0,""adtimes"":0},""tag"":[{""id"":""0081f9860662"",""rssi"":-67,""volt"":3.06},{""id"":""0081f98608fc"",""rssi"":-66,""volt"":2.9699999999999998},{""id"":""0081f98602f6"",""rssi"":-60,""volt"":3.01},{""id"":""0081f9860866"",""rssi"":-60,""volt"":2.9699999999999998},{""id"":""0081f986057c"",""rssi"":-58,""volt"":3.14},{""id"":""0081f986053f"",""rssi"":-55,""volt"":3},{""id"":""0081f986083d"",""rssi"":-53,""volt"":2.9699999999999998},{""id"":""0081f9860356"",""rssi"":-48,""volt"":3.05}]}",2025/07/10 10:02:31.426
